Taxon;AUTEUR;Synonyme ou nom erroné;Groupe;Sous-Groupe;Ordre;Super famille;Famille;Sous_famille;SYSTEMATIQUE;Commentaire
Calopteryx splendens;(Harris, 1782);;Odonata;Zygoptera;Odonata;Calopterygoidea;Calopterygidae;;1;
Calopteryx xanthostoma;(Charpentier, 1825);;Odonata;Zygoptera;Odonata;Calopterygoidea;Calopterygidae;;2;
Calopteryx virgo;(Linnaeus, 1758);;Odonata;Zygoptera;Odonata;Calopterygoidea;Calopterygidae;;3;
Lestes viridis;(Vander Linden, 1825);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;4;
Lestes barbarus;(Fabricius, 1798);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;5;
Lestes dryas;Kirby, 1890;;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;6;
Lestes macrostigma;(Eversmann, 1836);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;7;
Lestes sponsa;(Hansemann, 1823);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;8;
Lestes virens;(Charpentier, 1825);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;9;
Sympecma fusca;(Vander Linden, 1820);;Odonata;Zygoptera;Odonata;Lestoidea;Lestidae;;10;
Platycnemis acutipennis;Sélys, 1841;;Odonata;Zygoptera;Odonata;Coenagrionoidea;Platycnemididae;;11;
Platycnemis latipes;Rambur, 1842;;Odonata;Zygoptera;Odonata;Coenagrionoidea;Platycnemididae;;12;
Platycnemis pennipes;(Pallas, 1771);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Platycnemididae;;13;
Ceriagrion tenellum;(Villers, 1789);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;14;
Coenagrion mercuriale;(Charpentier, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;15;
Coenagrion puella;(Linnaeus, 1758);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;16;
Coenagrion pulchellum;(Vander Linden, 1825);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;17;
Coenagrion scitulum;(Rambur, 1842);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;18;
Enallagma cyathigerum;(Charpentier, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;19;
Erythromma lindenii;(Sélys, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;20;
Erythromma najas;(Hansemann, 1823);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;21;
Erythromma viridulum;(Charpentier, 1840);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;22;
Ischnura elegans;(Vander Linden, 1820);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;23;
Ischnura pumilio;(Charpentier, 1825);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;24;
Pyrrhosoma nymphula;(Sulzer, 1776);;Odonata;Zygoptera;Odonata;Coenagrionoidea;Coenagrionidae;;25;
Aeshna affinis;Vander Linden, 1820;;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;26;
Aeshna cyanea;(Müller, 1764);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;27;
Aeshna grandis;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;28;
Aeshna isoceles;(Müller, 1767);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;29;
Aeshna mixta;Latreille, 1805;;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;30;
Anax imperator;Leach, 1815;;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;31;
Anax junius;(Drury, 1773);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;32;
Anax parthenope;(Sélys, 1839);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;33;
Boyeria irene;(Fonscolombe, 1838);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;34;
Brachytron pratense;(Müller, 1764);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;35;
Hemianax ephippiger;(Burmeister, 1839);;Odonata;Anisoptera;Odonata;Aeshnoidea;Aeshnidae;;36;
Gomphus flavipes;(Charpentier, 1825);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;37;
Gomphus graslini;Rambur, 1842;;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;38;
Gomphus pulchellus;Sélys, 1840;;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;39;
Gomphus simillimus;Sélys, 1840;;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;40;
Gomphus vulgatissimus;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;41;
Onychogomphus forcipatus;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;42;
Onychogomphus uncatus;(Charpentier, 1840);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;43;
Ophiogomphus cecilia;(Geoffroy in Fourcroy, 1785);;Odonata;Anisoptera;Odonata;Aeshnoidea;Gomphidae;;44;
Cordulegaster boltonii;(Donovan, 1807);;Odonata;Anisoptera;Odonata;Cordulegastroidea;Cordulegastridae;;45;
Cordulia aenea;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Libelluloidea;Corduliidae;;46;
Oxygastra curtisii;(Dale, 1834);;Odonata;Anisoptera;Odonata;Libelluloidea;Corduliidae;;47;
Somatochlora flavomaculata;(Vander Linden, 1825);;Odonata;Anisoptera;Odonata;Libelluloidea;Corduliidae;;48;
Somatochlora metallica;(Vander Linden, 1825);;Odonata;Anisoptera;Odonata;Libelluloidea;Corduliidae;;49;
Crocothemis erythraea;(Brullé, 1832);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;50;
Leucorrhinia albifrons;(Burmeister, 1839);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;51;
Leucorrhinia pectoralis;(Charpentier, 1825);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;52;
Libellula depressa;Linnaeus, 1758;;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;53;
Libellula fulva;Müller, 1764;;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;54;
Libellula quadrimaculata;Linnaeus, 1758;;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;55;
Orthetrum albistylum;(Sélys, 1848);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;56;
Orthetrum brunneum;(Fonscolombe, 1837);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;57;
Orthetrum cancellatum;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;58;
Orthetrum coerulescens;(Fabricius, 1798);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;59;
Sympetrum danae;(Sulzer, 1776);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;60;
Sympetrum depressiusculum;(Sélys, 1841);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;61;
Sympetrum flaveolum;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;62;
Sympetrum fonscolombii;(Sélys, 1840);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;63;
Sympetrum meridionale;(Sélys, 1841);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;64;
Sympetrum sanguineum;(Müller, 1764);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;65;
Sympetrum striolatum;(Charpentier, 1840);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;66;
Sympetrum vulgatum;(Linnaeus, 1758);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;67;
Trithemis annulata;(Palisot de Beauvois, 1805);;Odonata;Anisoptera;Odonata;Libelluloidea;Libellulidae;;68;
Clonopsis gallica;(Charpentier, 1825);Phasma gallica;Orthoptera, Mantodea & Phasmatodea;;Phasmatodea;;Bacillidae;;69;
Phaneroptera falcata;(Poda, 1761);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Phaneropteridae;;70;
Phaneroptera nana;Fieber, 1853;;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Phaneropteridae;;71;
Tylopsis lilifolia;(Fabricius, 1793);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Phaneropteridae;;72;
Isophya pyrenaea;(Serville, 1839);Barbitistes pyrenaea;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Phaneropteridae;;73;
Leptophyes punctatissima;(Bosc, 1792);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Phaneropteridae;;74;
Meconema thalassinum;(De Geer, 1773);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Meconematidae;;75;
Meconema meridionale;Costa, 1860;;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Meconematidae;;76;
Cyrtaspis scutata;(Charpentier, 1825);Barbitistes scutata;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Meconematidae;;77;
Conocephalus fuscus;(Fabricius, 1793);Conocephalus discolor;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Conocephalidae;;78;
Conocephalus dorsalis;(Latreille, 1804);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Conocephalidae;;79;
Ruspolia nitidula;(Scopoli, 1786);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Conocephalidae;;80;
Tettigonia viridissima;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;81;
Decticus verrucivorus;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;82;
Decticus albifrons;(Fabricius, 1775);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;83;
Platycleis albopunctata;(Goeze, 1778);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;84;
Platycleis intermedia;(Serville, 1839);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;85;
Platycleis affinis;Fieber, 1853;;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;86;
Tessellana tessellata;(Charpentier, 1825);Platycleis tessellata;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;87;
Metrioptera brachyptera;(Linnaeus, 1761);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;88;
Roeseliana roeselii;(Hagenbach, 1822);Metrioptera roeselii;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;89;
Sepiana sepium;(Yersin, 1854);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;90;
Pholidoptera griseoaptera;(De Geer, 1773);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;91;
Gampsocleis glabra;(Herbst, 1786);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Tettigoniidae;;92;
Ephippiger ephippiger;(Fiebig, 1784);Ephippiger diurnus;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Bradyporidae;;93;
Uromenus rugosicollis;(Serville, 1839);Ephippiger rugosicollis;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Tettigonioidea;Bradyporidae;;94;
Gryllus campestris;Linnaeus, 1758;;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;95;
Acheta domesticus;(Linnaeus, 1758);Gryllus domesticus;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;96;
Melanogryllus desertus;(Pallas, 1771);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;97;
Eumodicogryllus bordigalensis;(Latreille, 1804);Tartarogryllus bordigalensis;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;98;
Nemobius sylvestris;(Bosc, 1792);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;99;
Pteronemobius heydenii;(Fischer, 1853);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;100;
Pteronemobius lineolatus;(Brullé, 1835);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;101;
Oecanthus pellucens;(Scopoli, 1763);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllidae;;102;
Gryllotalpa gryllotalpa;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Ensifera;Orthoptera;Grylloidea;Gryllotalpidae;;103;
Depressotetrix depressus;(Brisout de Barneville, [1849]);Tetrix depressa / Uvarovitettix depressus;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;104;
Paratettix meridionalis;(Rambur, 1838);Tetrix meridionalis;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;105;
Tetrix subulata;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;106;
Tetrix bolivari;(Saulcy, 1901);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;107;
Tetrix ceperoi;(Bolivar, 1887);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;108;
Tetrix undulata;(Sowerby, 1806);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;109;
Tetrix bipunctata;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;110;
Tetrix tenuicornis;Sahlberg, 1893;;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Tetrigoidea;Tetrigidae;;111;
Calliptamus italicus;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;112;
Calliptamus barbarus;(Costa, 1836);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;113;
Pezotettix giornae;(Rossi, 1794);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;114;
Psophus stridulus;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;115;
Oedaleus decorus;(Germar, 1826);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;116;
Locusta migratoria;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;117;
Oedipoda caerulescens;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;118;
Oedipoda germanica;(Latreille, 1804);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;119;
Sphingonotus caerulans;(Linnaeus, 1767);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;120;
Aiolopus thalassinus;(Fabricius, 1781);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;121;
Aiolopus strepens;(Latreille, 1804);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;122;
Epacromius tergestinus;(Charpentier, 1825);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;123;
Mecostethus parapleurus;(Hagenbach, 1822);Mecostethus alliaceus;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;124;
Stethophyma grossum;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;125;
Paracinema tricolor;(Thunberg, 1815);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;126;
Calephorus compressicornis;(Latreille, 1804);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;127;
Dociostaurus genei;(Ocskay, 1832);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;128;
Dociostaurus jagoi;Soltani, 1978;;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;129;
Chrysochraon dispar;(Germar, [1835]);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;130;
Euchorthippus declivus;(Brisout de Barneville, [1849]);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;131;
Euchorthippus elegantulus;Zeuner, 1940;Euchorthippus pulvinatus;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;132;
Omocestus rufipes;(Zetterstedt, 1821);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;133;
Omocestus haemorrhoidalis;(Charpentier, 1825);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;134;
Omocestus petraeus;(Brisout de Barneville, 1856);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;135;
Myrmeleotettix maculatus;(Thunberg, 1815);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;136;
Stenobothrus stigmaticus;(Rambur, 1838);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;137;
Stenobothrus nigromaculatus;(Herrich-Schäffer, 1840);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;138;
Stenobothrus lineatus;(Panzer, 1796);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;139;
Pseudochorthippus paralellus;(Zetterstedt, 1821);Chorthippus parallelus;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;140;
Pseudochorthippus montanus;(Charpentier, 1825);Chorthippus montanus;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;141;
Chorthippus albomarginatus;(De Geer, 1773);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;142;
Chorthippus dorsatus;(Zetterstedt, 1821);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;143;
Chorthippus vagans;(Eversmann, 1848);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;144;
Chorthippus brunneus;(Thunberg, 1815);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;145;
Chorthippus mollis;(Charpentier, 1825);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;146;
Chorthippus biguttulus;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;147;
Chorthippus binotatus;(Charpentier, 1825);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;148;
Gomphocerippus rufus;(Linnaeus, 1758);;Orthoptera, Mantodea & Phasmatodea;Caelifera;Orthoptera;Acridoidea;Acrididae;;149;
Ameles decolor;(Charpentier, 1825);;Orthoptera, Mantodea & Phasmatodea;Dictyoptera;Dictyoptera;Mantodea;Mantidae;;150;
Mantis religiosa;Linnaeus, 1758;;Orthoptera, Mantodea & Phasmatodea;Dictyoptera;Dictyoptera;Mantodea;Mantidae;;151;
Empusa pennata;(Thunberg, 1815);;Orthoptera, Mantodea & Phasmatodea;Dictyoptera;Dictyoptera;Mantodea;Empusidae;;152;
Euborellia moesta;(Gené in Serville, 1839);;Dermaptera;;Dermaptera;;Anisolabididae;;153;
Euborellia annulipes;(Lucas, 1847);;Dermaptera;;Dermaptera;;Anisolabididae;;154;
Labia minor;(Linnaeus, 1758);;Dermaptera;;Dermaptera;;Spongiphoridae;;155;
Labidura riparia;(Pallas, 1773);;Dermaptera;;Dermaptera;;Labiduridae;;156;
Chelidurella acanthopygia;(Gené, 1832);;Dermaptera;;Dermaptera;;Forficulidae;;157;
Apterygida media;(Hagenbach, 1822);;Dermaptera;;Dermaptera;;Forficulidae;;158;
Forficula auricularia;Linnaeus, 1758;;Dermaptera;;Dermaptera;;Forficulidae;;159;
Forficula decipiens;Gené, 1832;;Dermaptera;;Dermaptera;;Forficulidae;;160;
Forficula pubescens;Gené in Serville, 1839;;Dermaptera;;Dermaptera;;Forficulidae;;161;
Forficula lesnei;Finot, 1887;;Dermaptera;;Dermaptera;;Forficulidae;;162;
Cicindela sylvatica;Linnaeus, 1758;;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;163;
Cicindela hybrida;Linnaeus, 1758;;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;164;
Cicindela campestris;Linnaeus, 1758;;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;165;
Calomera littoralis;(Fabricius, 1787);Lophyridia littoralis;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;166;
Lophyra flexuosa;(Fabricius, 1787);;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;167;
Cylindera germanica;(Linnaeus, 1758);;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;168;
Cylindera trisignata;(Dejean, 1822);;Cicindelinae;;Coleoptera;Caraboidea;Carabidae;Cicindelinae;169;
Calosoma sycophanta;(Linnaeus, 1758);;Carabinae;Calosomes;Coleoptera;Caraboidea;Carabidae;Carabinae;170;
Calosoma inquisitor;(Linnaeus, 1758);;Carabinae;Calosomes;Coleoptera;Caraboidea;Carabidae;Carabinae;171;
Calosoma auropunctatum;(Herbst, 1784);Campalita auropunctatum;Carabinae;Calosomes;Coleoptera;Caraboidea;Carabidae;Carabinae;172;
Carabus granulatus;Linnaeus, 1758;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;173;
Carabus arcensis;Herbst, 1784;Carabus arvensis;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;174;
Carabus monilis;Fabricius, 1792;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;175;
Carabus nemoralis;Müller, 1764;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;176;
Carabus cancellatus;Illiger, 1798;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;177;
Carabus auratus;Linnaeus, 1761;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;178;
Carabus convexus;Fabricius, 1775;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;179;
Carabus problematicus;Herbst, 1786;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;180;
Carabus intricatus;Linnaeus, 1761;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;181;
Carabus coriaceus;Linnaeus, 1758;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;182;
Carabus violaceus;Linnaeus, 1758;Carabus purpurascens;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;183;
Carabus auronitens;Fabricius, 1792;;Carabinae;Carabes;Coleoptera;Caraboidea;Carabidae;Carabinae;184;
Cychrus caraboides;(Linnaeus, 1758);;Carabinae;Cychres;Coleoptera;Caraboidea;Carabidae;Carabinae;185;
Cychrus attenuatus;(Fabricius, 1792);;Carabinae;Cychres;Coleoptera;Caraboidea;Carabidae;Carabinae;186;
Aesalus scarabaeoides;(Panzer, 1794);;Scarabaeoidea;Lucanidae;Coleoptera;Scarabaeoidea;Lucanidae;;187;
Sinodendron cylindricum;(Linnaeus, 1735);;Scarabaeoidea;Lucanidae;Coleoptera;Scarabaeoidea;Lucanidae;;188;
Platycerus caraboides;(Linnaeus, 1735);;Scarabaeoidea;Lucanidae;Coleoptera;Scarabaeoidea;Lucanidae;;189;
Dorcus parallelipipedus;(Linnaeus, 1735);;Scarabaeoidea;Lucanidae;Coleoptera;Scarabaeoidea;Lucanidae;;190;
Lucanus cervus;(Linnaeus, 1735);;Scarabaeoidea;Lucanidae;Coleoptera;Scarabaeoidea;Lucanidae;;191;
Trox hispidus;(Pontoppidan, 1763);;Scarabaeoidea;Trogidae;Coleoptera;Scarabaeoidea;Trogidae;;192;
Trox perlatus;(Geoffroy, 1762);;Scarabaeoidea;Trogidae;Coleoptera;Scarabaeoidea;Trogidae;;193;
Trox perrisi;Farmaire, 1868;;Scarabaeoidea;Trogidae;Coleoptera;Scarabaeoidea;Trogidae;;194;
Trox sabulosus;(Linnaeus, 1758);;Scarabaeoidea;Trogidae;Coleoptera;Scarabaeoidea;Trogidae;;195;
Trox scaber;(Linnaeus, 1767);;Scarabaeoidea;Trogidae;Coleoptera;Scarabaeoidea;Trogidae;;196;
Odontaeus armiger;(Scopoli, 1772);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;197;
Typhoeus typhoeus;(Linnaeus, 1758);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;198;
Anoplotrupes stercorosus;(Scriba, 1791);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;199;
Geotrupes mutator;Marsham, 1802;;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;200;
Geotrupes spiniger;Marsham, 1802;;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;201;
Geotrupes stercorarius;(Linnaeus, 1758);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;202;
Sericotrupes niger;(Marsham, 1802);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;203;
Trypocopris pyrenaeus;(Charpentier, 1825);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;204;
Trypocopris vernalis;(Linnaeus, 1758);;Scarabaeoidea;Geotrupidae;Coleoptera;Scarabaeoidea;Geotrupidae;;205;
